9:
 num     #instances         #bytes  class name (module)
 181:           837          20088  java.util.LinkedHashMap$LinkedEntrySet (java.base@21.0.6)
 182:           836          20064  java.util.LinkedHashMap$LinkedKeySet (java.base@21.0.6)
 183:           358          20048  kotlin.reflect.jvm.internal.impl.types.SimpleTypeImpl
 184:           356          19936  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$QualifiedNameTable$QualifiedName
 185:           153          19584  org.glassfish.hk2.utilities.DescriptorImpl
 186:           270          19440  io.netty.handler.codec.http2.DefaultHttp2Connection$DefaultEndpoint
 187:           135          19440  java.net.URI (java.base@21.0.6)
 188:           485          19400  kotlin.reflect.jvm.internal.impl.storage.LockBasedStorageManager$MapBasedMemoizedFunctionToNotNull
 189:           601          19200  [Ljava.security.cert.Certificate; (java.base@21.0.6)
 190:           182          18928  kotlin.reflect.jvm.internal.impl.descriptors.impl.PropertyGetterDescriptorImpl
 191:           471          18840  java.math.BigInteger (java.base@21.0.6)
 192:           292          18688  com.google.inject.internal.ChildBindingAlreadySetError
 193:            97          18624  com.google.common.cache.LocalCache
 194:           582          18624  java.lang.Class$AnnotationData (java.base@21.0.6)
 195:           774          18576  java.util.Collections$SingletonList (java.base@21.0.6)
 196:            35          18480  [Ljava.util.concurrent.ForkJoinTask; (java.base@21.0.6)
 197:           577          18464  io.netty.util.internal.DefaultPriorityQueue
 198:           104          18304  io.netty.util.internal.InternalThreadLocalMap
 199:           572          18304  java.util.Collections$SetFromMap (java.base@21.0.6)
 200:           443          17720  jdk.internal.reflect.MethodHandleObjectFieldAccessorImpl (java.base@21.0.6)
 201:           246          17712  java.util.logging.LogManager$LoggerWeakRef (java.logging@21.0.6)
 202:           130          17680  com.fasterxml.jackson.databind.deser.impl.FieldProperty
 203:           245          17640  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync (java.base@21.0.6)
 204:           367          17616  kotlin.reflect.jvm.internal.impl.metadata.jvm.JvmProtoBuf$JvmMethodSignature
 205:           200          17600  java.lang.ClassValue$ClassValueMap (java.base@21.0.6)
 206:           550          17600  kotlin.reflect.jvm.internal.impl.renderer.DescriptorRendererOptionsImpl$property$$inlined$vetoable$1
 207:           733          17592  com.fasterxml.jackson.databind.introspect.AnnotationMap
 208:           243          17496  java.lang.Package$VersionInfo (java.base@21.0.6)
 209:           351          16848  kotlin.reflect.jvm.internal.impl.metadata.jvm.JvmProtoBuf$JvmFieldSignature
 210:           701          16824  java.lang.Long (java.base@21.0.6)
 211:           262          16768  io.netty.buffer.PooledSlicedByteBuf
 212:           414          16560  java.net.Inet6Address (java.base@21.0.6)
 213:           414          16560  java.net.Inet6Address$Inet6AddressHolder (java.base@21.0.6)
 214:             1          16400  [Lkotlinx.coroutines.internal.ThreadSafeHeapNode;
 215:           675          16200  io.netty.handler.codec.http2.DefaultHttp2Connection$DefaultPropertyKey
 216:           670          16080  java.util.LinkedHashMap$LinkedValues (java.base@21.0.6)
 217:           182          16016  java.nio.DirectByteBuffer (java.base@21.0.6)
 218:           195          15600  java.util.TreeMap (java.base@21.0.6)
 219:           647          15528  kotlin.reflect.jvm.internal.KCallableImpl$$Lambda$0
 220:           647          15528  kotlin.reflect.jvm.internal.KCallableImpl$$Lambda$1
 221:           647          15528  kotlin.reflect.jvm.internal.KCallableImpl$$Lambda$2
 222:           647          15528  kotlin.reflect.jvm.internal.KCallableImpl$$Lambda$3
 223:           647          15528  kotlin.reflect.jvm.internal.KCallableImpl$$Lambda$4
 224:            62          15376  io.netty.channel.epoll.EpollEventLoop
 225:           174          15312  java.util.jar.JarFile (java.base@21.0.6)
